[    1213ms] [VERBOSE] [DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) @ http://127.0.0.1:15173/login:0
[    1328ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://127.0.0.1:15173/favicon.ico:0
[  118796ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://127.0.0.1:15173/api/v1/tasks/bc6a6f23-b52e-4dfd-9090-e9b344d7adae/bug-report:0
[  275130ms] [VERBOSE] [DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) %o @ http://127.0.0.1:15173/providers:0
[  874572ms] [LOG] [vite] server connection lost. Polling for restart... @ http://127.0.0.1:15173/@vite/client:963
[  874605ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error during WebSocket handshake: net::ERR_CONNECTION_RESET @ http://127.0.0.1:15173/@vite/client:1034
[  875611ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  876627ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  877631ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  878638ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  879644ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  880656ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  881666ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  882703ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  883781ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  884917ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  886108ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  887284ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  889081ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  890929ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  896711ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  901653ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
[  904012ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:15173/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:15173/@vite/client:1034
